"Table 4.3.3.5 Shear Capacity Adjustment Factor, Co",,,,,
"Wall Height - h",Maximum Opening Height [1],,,,
h,h/3,h/2,2h/3,5h/6,h
8' Wall,"2'-8""","4'-0""","5'-4""","6'-8""","8'-0"""
10' Wall,"3'-4""","6-0""","6'-8""","8'-4""","10'-0"""
Percent Full-Height Sheathing 2,Effective Shear Capacity Ratio,,,,
10%,1.00,0.69,0.53,0.43,0.36
20%,1.00,0.71,0.56,0.45,0.38
30%,1.00,0.74,0.59,0.49,0.42
40%,1.00,0.77,0.63,0.53,0.45
50%,1.00,0.80,0.67,0.57,0.50
60%,1.00,0.83,0.71,0.63,0.56
70%,1.00,0.87,0.77,0.69,0.63
80%,1.00,0.91,0.83,0.77,0.71
90%,1.00,0.95,0.91,0.87,0.83
100%,1.00,1.00,1.00,1.00,1.00
